慎重	しんちょう	discretion, prudence
即応	そくおう	compliance, conformance, adaption
潜在	せんざい	latent, potential
合理	ごうり	rational
零細企業	れいさいきぎょう	small business
時価会計	じかかいけい	mark to market
待ち越す	まちこす	to carry forward, defer.
会計制度	かいけいせいど	accounting system, fiscal system.
根強い	ねづよい	deep seated, firmly rooted
主張	しゅちょう	claim, request, assertion
損なう	そこなう	to harm, hurt, injure, damage
有事	ゆうじ	emergency
法制	ほうせい	legislation , laws
経る	へる	to pass (time), elapse, experience.
採決	さいけつ	role call, vote.
信条	しんじょう	creed, belief
懸案	けんあん	pending problem, 
週明け	しゅうあけ	beginning of the week, Monday
大引け	おおびけ	closing price
流動性	りゅうどうせい	liquidity
試案	しあん	tentative
踏まえる	ふまえる	to be based on, have origin in
鮮明	せんめい	vivid, clear, distinct
低迷	ていめい	low hanging, sluggish
偏り	かたより	deviation, inclination
答申	とうしん	a written report
容認	ようにん	approval
主張	しゅちょう	claim, request, advocate
審議	しんぎ	inquiry, deliberation
疾病	しっぺい	illness, disease
年次総会	ねんしそうかい	annual general meeting
媒介	ばいかい	intermediary, carrier (disease)
蚊	か	mosquito
終息	しゅうそく	having just ended, being resolved
再来	さいらい	second coming, resurection
統治	とうち	rule, reign, governing
慰労金	いろうきん	bonus, reward for services.
報酬	ほうしゅう	remuneration, reward.
否決	ひけつ	reject, vote down
冒頭	ぼうとう	beginning, outset
悼む	いたむ	to grieve, to lament.
祈念	きねん	prayer.
速報	そくほう	quick report, early announcement.
通関	つうかん	customs clearance
判別	はんべつ	distinction, discrimination
軽微	けいび	slight, little, insignificant
鈍化	どんか	become dull, slow down.
見極める	みきわめる	to see through, to probe, to make sure of
骨太	ほねぶと	big boned, 
政権	せいけん	political power
社会保障	しゃかいほしょう	social security
据え置く	すえおく	to leave as is, to defer
浮上	ふじょう	surfacing, rising
譲渡	じょうと	assignment, transfer (of goods, title etc)
針路	しんろ	course, direction, compass.
配偶	はいぐう	combination
配偶者	はいぐうしゃ	spouse, wife, husband
判明	はんめい	establishing, proving etc.
処分	しょぶん	disposal, dealing with, punishment.
指標	しひょう	index, indices
利回り	りまわり	interest, yield (investment)
悲観論	ひかんろん	pessimism
先行き	さきいき	the future
持ち高	もちだか	take a position (financial)
寄り付き	よりつき	opening session, ante room
前場	ぜんば	morning trading session
苦情	くじょう	complaint, objection
提言	ていげん	proposal, motion
余力	よりょく	spare energy, time or money
自己売買	じこばいばい	proprietary trading
時価	じか	current price.
概算	がいさん	approximate, rough estimate
朝方	あさがた	morning, towards the morning.
火災報知機	かさいほうちき	smoke alarm
充満	じゅうまん	be filled with, teaming with
廃棄物	はいきぶつ	waste matter, rubbish
値幅制限	ねはばせいげん	price flucation limit
買い気配	かいけはい	bid price
流入	りゅうにゅう	inflow.
底上げ	そこあげ	raising (standard)
心理	しんり	mentality
底堅い	そこがたい	stable (market) after having bottomed out.
簡易保険（簡保）	かんいほけん	postal life insurance
硬貨	こうか	coins
含み損	ふくみそん	unrealised loss
価格変動準備金	かかくへんどうじゅんびきん	reserve held against price fluctuation
取り崩す	とりくずす	to demolish, liquidate
低迷	ていめい	hanging low, hovering around(price), sluggish (economy)
内部留保	ないぶりゅうほ	internal reserves
起用	きよう	appointment, promotion.
登用	とうよう	appointment, assignment.
再編	さいへん	reorganization, restructure
機運	きうん	opportunity
頓挫	とんざ	setback, impasse
介入	かいにゅう	intervention
突破	とっぱ	breaking through, penetration
累計	るいけい	total
不可侵条約	ふかしんじょうやく	non-agression treaty
算定	さんてい	calculation, estimation
宅地	たくち	building lot, residential land
進出	しんしゅつ	advance, step forward
浮き彫り	うきぼり	relief, embossed carving
都道府県	とどうふけん	administrative divisions of Japan
納付	のうふ	paying (tax)
不起訴	ふきそ	nonprosecution or indictment
流用	りゅうよう	diversion, misappropriation
告発	こくはつ	indictment, prosecution, complaint
詐欺	さぎ	fraud, swindle
嫌疑	けんぎ	suspicion
特捜	とくそう	special investigation
原則	げんそく	principle, general rule
供与	きょうよ	deliver, grant, extend
資産担保証券	しさんたんぽしょうけん	asset backed securities
中堅	ちゅうけん	main body, nucleus
資金繰り	しきんぐり	fund raising, financing.
入札	にゅうさつ	bidding
買い上げる	かいあげる	to buy, bid up.
応札	おうさつ	bid
随時	ずいじ	at any time, as occasion calls
落札	らくさつ	having a bid accepted
配線	はいせん	wiring.
運休	うんきゅう	suspended train service
前代未聞	ぜんだいみもん	unheard of, unprecedented.
採択	さいたく	adoption, selection, choice
製本	せいほん	book binding
整合性	せいごうせい	integrity, consistancy
付与	ふよ	grant, allowance.
長所	ちょうしょ	merit, advantage
短所	たんしょ	weak point, disadvantage.
複合	ふくごう	complex, composite
指数	しすう	index, index number
軒並み	のきなみ	all over, all round
拠出	きょしゅつ	donation, contribution
返済期限	へんさいきげん	repayment deadline
猶予	ゆうよ	postponement, deferment
司法	しほう	judiciary, justice
提訴	ていそ	presenting a case, suing
検出	けんしゅつ	detection, sense
賠償	ばいしょう	reparations, indemnity, compensation
上告(審)	じょうこく(しん)	appeal (hearing) to higher court
判決	はんけつ	judicial decision
小法廷	しょうほうてい	petty bench
退ける	しりぞける	to repel, reject, drive away
審理	しんり	trial
破棄	はき	annulment, abrogation, quash etc.
違法性	いほうせい	illegality
名誉毀損	めいよきそん	libel, defamation, slander
財政難	ざいせいなん	economic difficulties
立て直す	たてなおす	to rally, reorganise
言及	げんきゅう	to cite, refer to
換算	かんさん	conversion, exchange
総領事館	そうりょうじかん	consulate-general
保護	ほご	care, protection, shelter, guardianship
当局	とうきょく	authorities
水面下	すいめんか	behind the scenes; below water
非対称	ひたいしょう	asymmetry
冗長	じょうちょう	redundant; tedious, verbose
議定書	ぎていしょ	protocol
踏切	ふみきり	railway crossing
披露宴	ひろうえん	reception (wedding)
党員資格	とういんしかく	party membership
〜届	〜とどけ	report, notification
執行部	しっこうぶ	executive
放置	ほうち	leave alone, neglect
党籍	とうせき	party membership
党則	とうそく	party rules and regulations
除名	じょめい	expulsion, excommunication
頻繁	ひんぱん	frequency
比例代表制	ひれいだいひょうせい	proportional representation
処遇	しょぐう	treatment, dealing with
公認	こうにん	official recognition, authorization, licence
公団	こうだん	public corporation
辞令	じれい	notice of personnel change (hire. fire etc)
民間人	みんかんじん	non-government person, civilian
人選	じんせん	personnel selection
更迭	こうてつ	shake up, reshuffle
辞表	じひょう	letter of resignation
攻勢	こうせい	offensive (move), aggression
敷設	ふせつ	construction, laying of a road.
世帯	せたい	household
改ざん	かいざん	falsification
隣接	りんせつ	adjoining, adjacent
理事会	りじかい	board of directors or trustees
儲け	もうけ	profit, earnings
奨励金	しょうれいきん	subsidy
曲がり角	まがりかど	a turning point, bend in the road.
歯止め	はどめ	brake
伸び悩む	のびなやむ	continue to lag, see sluggish growth
纏める	まとめる	to put in order, to collect, bring to conclusion
総じて	そうじて	all told, as a whole etc.
実証	じっしょう	experimental proof
遠隔	えんかく	distant, remote, isolated
通信放送機構	つうしんほうそうきこう	Telecommunications Advancement Org (TAO)
異論	いろん	different opinion, objection
著しい	いちじるしい	remarkabe, considerable
未然防止	みぜんぼうし	proactive measure
現行	げんこう	present, current, in operation
事実上	じじつじょう	as a matter of fact, effectively
連立政権	てんりつせいけん	coalition governement
召集	しょうしゅう	calling together (e.g. parliament)
育児	いくじ	childcare, nursing.
審議会	しんぎかい	inquiry commision
審問機関	しんもんきかん	consulative body
保育所	ほいくじょ	nursery school
担う	になう	to carry a burden
所得税	しょとくぜい	income tax
結成	けっせい	formation
沿岸	えんがん	shore, coastline
埋蔵量	まいぞうりょう	deposits, reserves (gas, oil etc)
敷設	ふせつ	laying a road, pipe line etc
矢印	やじるし	directing arrow, curor
募る	つのる	to invite, to solicit help
充てる	あてる	to assign, to set aside.
印税	いんぜい	royalty (on book etc)
及ぼす	およぼす	to exert, to cause, to exercise
繰り越す	くりこす	to carry forward
相殺	そうさい	offsetting, counterbalance.
懇談	こんだん	informal talk
自律	じりつ	autonomy
支障	ししょう	obstacle, hindrance, impediment
発動	はつどう	to put into operation, invoke
覆す	くつがえす	to overturn, to upset, overthrow
燻る	くすぶる	to smoke, smolder, sputter
公算	こうさん	probability
弾劾	だんがい	impeachment, accusation
築く	きずく	to build, to pile up, amass
同盟	どうめい	association, alliance
順次	じゅんじ	in order
機動力	きどうりょく	mobility
終結	しゅうけつ	end, close
ならず者	ならずもの	bad guy, hooligan
提唱	ていしょう	to advocate, proposal
在外公館	ざいがいこうかん	diplomatic mission
法改正	ほうかいせい	legal reform, change in law
拡充	かくじゅう	expansion
実写映画	じっしゃえいが	live action film
争奪	そうだつ	struggle, contest
募る	つのる	to invite, solicit help
人気を呼ぶ	にんきをよぶ	to catch on, be popular
数値化	すうちか	digitize
加盟	かめい	participation, affiliation
帯域	たいいき	zone, bandwidth
周波数	しゅうはすう	frequency (waves)
青果	せいか	fruit and vegetables
荷札	にふだ	label, tag
見解	けんかい	opinion, point of view
公共料金	こうきょうりょうきん	public utility charge
構想	こうそう	plan, plot, conception
簡素化	かんそか	simplification
手数料	てすうりょう	handling charge, commision
与信	よしん	credit limit
資産担保証券	しさんたんぽしょうけん	Asset Backed Securities
教書	きょうしょ	(presidential) message
先制攻撃	せんせいこうげき	a preemptive strike.
恒久化	こうきゅうか	to make permanento
歳出	さいしゅつ	annual expenditure
一般教書	いっぱんきょうしょ	State of the Union address
施政方針	しせいほうしん	administrative policy
放棄	ほうき	abondonment, abdication of responsibilities
双方向性	そうほうこうせい	interactive, bidirectional
代行	だいこう	acting as an agent
直ちに	ただちに	at once, immediately, directly, in person
陣	じん	army group, encampment etc.
宿営	しゅくえい	billeting, camp
拡販	かくはん	sales promotion
廉価版	れんかばん	low priced (popular) version
輝度	きど	brightness, clearness
輝度	きど	brightness, clearness
住基ネット	じゅうきねっと	national ID system
養鶏	ようけい	poultry raising.
矮鶏	チャボ	Japanese bantam hen
家鴨	アヒル	domestic duck
飼育	しいく	breeding, raising, rearing
防疫	ぼうえき	prevention of epidemic, quarantine
誓約	せいやく	an oath, to vow, pledge
言及	げんきゅう	reference, refer
存続	そんぞく	to continue to exist
公取委	こうとりい	fair trade commission
多重債務者	たじゅうさいむしゃ	person with multiple debts
加盟	かめい	participation, affiliation
貸付	かしつけ	loan
手を組む	てをくむ	join hands, cooperate with
抵触	ていしょく	collision, conflict
特許	とっきょ	patent, special permission
電子書籍	でんししょせき	computer book
岩石	がんせき	rock
樹脂	じゅし	resin
地味	じみ	plain, simple
彗星	すいせい	comet
排除	はいじょ	exclusion, removal, rejection
違憲	いけん	unconstitutionality
速やか	すみやか	speed
掃討	そうとう	cleaning up, sweeping up.
終息	しゅうそく	having just ended, being resolved
世論調査	よろんしょうさ	public opinion poll.
聖職者	せいしょくしゃ	clergyman, churchman
お結び	おむすび	a rice ball
不特定多数の人	ふとくていたすうのひと	the general public
府警	ふけい	prefectural police
匿名性	とくめいせい	anonymity
温床	おんしょう	hot bed, breeding ground
進出	しんしゅつ	foray into, penetrate, advance
実勢価格	じっせいかかく	market price
決済手段	けっさいしゅだん	method of payment
未納	みのう	payment overdue, default
役職	やくしょく	post, managerial position
移民	いみん	immigrant, immigration
規制	きせい	regulation
折り合う	おりあう	to compromise
旧態依然	きゅうたいいぜん	remain unchanged, none the better for all the change
小売	こうり	retail
差し止める	さしとめる	to ban, pohibit
申し立てる	もうしたてる	to plead, declare, petition
連邦	れんぽう	federation, commonwealth, (federal)
損害賠償	そんがいばいしょう	restitution, compensation for damages
訴訟	そしょう	litigation, lawsuit
配分	はいぶん	distribution, allotment
主導権を握る	しゅどうけんをにぎる	to seize the initiative
後継	こうけい	successor
伝統	でんとう	transmission, communication, circulation
範疇	はんちゅう	category
構図	こうず	composition
複写機	ふくしゃき	photocopying machine
抜本的	ばっぽんてき	drastic, radical
墜落	ついらく	falling, crashing
